s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
BNBBTC,TRADING,BNB,BTC,,฿,0.01,1e-7,BNB,Bitcoin,0.0015285,0.0015436,0.001512,0.0015362,330762.6,504.8078888,0,330762.6,BTC,BTC,152665937,"[""pos"",""mining-zone""]",,,
NULSBTC,TRADING,NULS,BTC,,฿,1,1e-8,Nuls,Bitcoin,0.00001351,0.00001399,0.00001314,0.00001341,562440,7.62743222,0,562440,BTC,BTC,99620739,"[""pos"",""mining-zone""]",,,
NEOBTC,TRADING,NEO,BTC,,฿,0.01,0.000001,NEO,Bitcoin,0.000928,0.000928,0.000911,0.000914,84753.18,77.92248613,0,84753.18,BTC,BTC,65000000,"[""pos"",""mining-zone""]",,,
NULSETH,BREAK,NULS,ETH,,Ξ,1,1e-8,Nuls,Ethereum,0.00053403,0.00054836,0.00051918,0.00051926,76339,40.47462862,0,76339,ALTS,ALTS,99620739,"[""pos"",""mining-zone""]",,,
LINKBTC,TRADING,LINK,BTC,,฿,0.1,1e-8,ChainLink,Bitcoin,0.00069477,0.00069955,0.00068039,0.00068267,656556.5,451.3052853,0,656556.5,BTC,BTC,395509556,"[""defi""]",,,
IOTABTC,TRADING,IOTA,BTC,,฿,1,1e-8,MIOTA,Bitcoin,0.00001732,0.00001758,0.00001641,0.00001662,10053168,169.99426747,0,10053168,BTC,BTC,2779530283,"[""pow""]",,,
ETCBTC,TRADING,ETC,BTC,,฿,0.01,1e-7,Ethereum Classic,Bitcoin,0.0003198,0.0003229,0.0003169,0.000321,134792.77,43.08522123,0,134792.77,BTC,BTC,116313299,"[""pow"",""mining-zone""]",,,
KNCBTC,TRADING,KNC,BTC,,฿,1,1e-8,KyberNetwork,Bitcoin,0.00005108,0.0000511,0.00004939,0.0000496,789626,39.45627543,0,789626,BTC,BTC,200871753,"[""defi""]",,,
WTCBTC,TRADING,WTC,BTC,,฿,0.01,1e-7,Walton,Bitcoin,0.000019,0.0000193,0.0000184,0.0000185,637117.92,11.94994708,0,637117.92,BTC,BTC,72133493,"[""pow"",""pos"",""mining-zone""]",,,
SNGLSBTC,TRADING,SNGLS,BTC,,฿,1,1e-8,Breaker,Bitcoin,3e-7,3.1e-7,2.9e-7,3e-7,9446848,2.84773878,0,9446848,BTC,BTC,600000000,[],,,
EOSETH,TRADING,EOS,ETH,,Ξ,0.01,0.000001,EOS,Ethereum,0.005001,0.005053,0.004949,0.004986,602174.06,3007.46207775,0,602174.06,ALTS,ALTS,938388155,"[""pos"",""mining-zone""]",,,
SNTETH,TRADING,SNT,ETH,,Ξ,1,1e-8,Status,Ethereum,0.00006232,0.0000658,0.00006051,0.00006093,2017750,125.3718103,0,2017750,ALTS,ALTS,3470483788,[],,,
BTCUSDT,TRADING,BTC,USDT,฿,,0.000001,0.01,Bitcoin,TetherUS,19136.6,19420.91,18902.88,19067.45,44442.62,853122504.6215738,0,44442.61079,USDⓈ,USDⓈ,18564237,"[""pow"",""mining-zone""]",,,
OMGETH,TRADING,OMG,ETH,,Ξ,0.01,0.000001,OmiseGO,Ethereum,0.006182,0.006299,0.00602,0.006079,117214.64,717.34499144,0,117214.64,ALTS,ALTS,102042552,"[""pos"",""mining-zone""]",,,
GASBTC,TRADING,GAS,BTC,,฿,0.01,1e-7,NeoGas,Bitcoin,0.0000893,0.000091,0.0000867,0.0000878,159781.07,14.02330611,0,159781.07,BTC,BTC,10128375,[],,,
BQXETH,TRADING,BQX,ETH,,Ξ,1,1e-7,Voyager Token,Ethereum,0.0002775,0.0003,0.0002755,0.000292,294977,84.8640633,0,294977,ALTS,ALTS,,[],,,
WTCETH,TRADING,WTC,ETH,,Ξ,0.01,0.000001,Walton,Ethereum,0.000617,0.000622,0.000596,0.000601,46931.87,28.43460355,0,46931.87,ALTS,ALTS,72133493,"[""pow"",""pos"",""mining-zone""]",,,
QTUMETH,TRADING,QTUM,ETH,,Ξ,0.01,0.000001,Qtum,Ethereum,0.004388,0.004483,0.004382,0.004404,14213.1,62.9678153,0,14213.1,ALTS,ALTS,97451343,"[""pos"",""mining-zone""]",,,
BNTETH,TRADING,BNT,ETH,,Ξ,0.01,0.000001,Bancor,Ethereum,0.001731,0.001749,0.0017,0.00174,13974.03,23.94771092,0,13974.03,ALTS,ALTS,90547068,"[""defi""]",,,
SNMBTC,TRADING,SNM,BTC,,฿,1,1e-8,SONM,Bitcoin,4.3e-7,4.7e-7,4.1e-7,4.4e-7,8536435,3.78165576,0,8536435,BTC,BTC,359600000,"[""storage-zone""]",,,
BQXBTC,TRADING,BQX,BTC,,฿,1,1e-8,Voyager Token,Bitcoin,0.00000859,0.00000916,0.00000858,0.00000905,4255897,37.85179725,0,4255897,BTC,BTC,,[],,,
NEOETH,TRADING,NEO,ETH,,Ξ,0.01,0.000001,NEO,Ethereum,0.02982,0.029996,0.029444,0.029614,9418.18,280.01108643,0,9418.18,ALTS,ALTS,65000000,"[""pos"",""mining-zone""]",,,
KNCETH,TRADING,KNC,ETH,,Ξ,1,1e-7,KyberNetwork,Ethereum,0.001648,0.001648,0.00158,0.001608,123150,198.5029296,0,123150,ALTS,ALTS,200871753,"[""defi""]",,,
ZRXETH,TRADING,ZRX,ETH,,Ξ,1,1e-8,0x,Ethereum,0.00067243,0.00069517,0.00066162,0.00068457,46310,31.3625541,0,46310,ALTS,ALTS,743937911,"[""defi""]",,,
QTUMBTC,TRADING,QTUM,BTC,,฿,0.01,1e-7,Qtum,Bitcoin,0.0001374,0.0001394,0.0001356,0.0001363,205893.58,28.29768208,0,205893.58,BTC,BTC,97451343,"[""pos"",""mining-zone""]",,,
