s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
BNBBTC,TRADING,BNB,BTC,,฿,0.01,1e-7,BNB,Bitcoin,0.0015854,0.0016266,0.0015734,0.0015994,539665.55,864.02564108,0,539665.55,BTC,BTC,152665937,"[""pos"",""mining-zone""]",,,
NULSBTC,TRADING,NULS,BTC,,฿,1,1e-8,Nuls,Bitcoin,0.00001315,0.00001393,0.000013,0.00001387,366438,4.94064287,0,366438,BTC,BTC,99620739,"[""pos"",""mining-zone""]",,,
NEOBTC,TRADING,NEO,BTC,,฿,0.01,0.000001,NEO,Bitcoin,0.000937,0.000963,0.000926,0.000952,154289.07,145.4801636,0,154289.07,BTC,BTC,65000000,"[""pos"",""mining-zone""]",,,
NULSETH,BREAK,NULS,ETH,,Ξ,1,1e-8,Nuls,Ethereum,0.00053403,0.00054836,0.00051918,0.00051926,76339,40.47462862,0,76339,ALTS,ALTS,99620739,"[""pos"",""mining-zone""]",,,
LINKBTC,TRADING,LINK,BTC,,฿,0.1,1e-8,ChainLink,Bitcoin,0.00072253,0.000729,0.00070562,0.00072315,1080225.3,775.77915686,0,1080225.3,BTC,BTC,394509556,"[""defi""]",,,
IOTABTC,TRADING,IOTA,BTC,,฿,1,1e-8,MIOTA,Bitcoin,0.00001737,0.00001804,0.0000172,0.0000177,3357975,58.98531279,0,3357975,BTC,BTC,2779530283,"[""pow""]",,,
ETCBTC,TRADING,ETC,BTC,,฿,0.01,1e-7,Ethereum Classic,Bitcoin,0.0003329,0.0003359,0.0003252,0.000328,320234.96,105.33225809,0,320234.96,BTC,BTC,116313299,"[""pow"",""mining-zone""]",,,
KNCBTC,TRADING,KNC,BTC,,฿,1,1e-8,KyberNetwork,Bitcoin,0.00005282,0.00005432,0.00005199,0.00005332,1091810,57.99720144,0,1091810,BTC,BTC,200674735,"[""defi""]",,,
WTCBTC,TRADING,WTC,BTC,,฿,0.01,1e-7,Walton,Bitcoin,0.0000193,0.0000196,0.0000189,0.0000193,620043.89,11.92065176,0,620043.89,BTC,BTC,72133493,"[""pow"",""pos"",""mining-zone""]",,,
SNGLSBTC,TRADING,SNGLS,BTC,,฿,1,1e-8,Breaker,Bitcoin,3.3e-7,3.5e-7,3.3e-7,3.3e-7,11940952,4.02542939,0,11940952,BTC,BTC,600000000,[],,,
EOSETH,TRADING,EOS,ETH,,Ξ,0.01,0.000001,EOS,Ethereum,0.005138,0.00518,0.005058,0.005123,692724.34,3553.44347521,0,692724.34,ALTS,ALTS,938247865,"[""pos"",""mining-zone""]",,,
SNTETH,TRADING,SNT,ETH,,Ξ,1,1e-8,Status,Ethereum,0.0000688,0.00007005,0.00006588,0.0000681,1441862,98.03627541,0,1441862,ALTS,ALTS,3470483788,[],,,
BTCUSDT,TRADING,BTC,USDT,฿,,0.000001,0.01,Bitcoin,TetherUS,19299.79,19342,18330,18907.21,86294.09,1632411572.1046345,0,86294.085517,USDⓈ,USDⓈ,18559718,"[""pow"",""mining-zone""]",,,
OMGETH,TRADING,OMG,ETH,,Ξ,0.01,0.000001,OmiseGO,Ethereum,0.006235,0.006363,0.006155,0.006272,26570.28,166.12205441,0,26570.28,ALTS,ALTS,102042552,"[""pos"",""mining-zone""]",,,
GASBTC,TRADING,GAS,BTC,,฿,0.01,1e-7,NeoGas,Bitcoin,0.0000898,0.0001085,0.0000852,0.000094,872448.14,81.22084957,0,872448.14,BTC,BTC,10128375,[],,,
BQXETH,TRADING,BQX,ETH,,Ξ,1,1e-7,Voyager Token,Ethereum,0.0002589,0.0002813,0.0002553,0.0002813,165295,44.6849572,0,165295,ALTS,ALTS,,[],,,
WTCETH,TRADING,WTC,ETH,,Ξ,0.01,0.000001,Walton,Ethereum,0.000617,0.000626,0.000604,0.000623,45918.99,28.19473342,0,45918.99,ALTS,ALTS,72133493,"[""pow"",""pos"",""mining-zone""]",,,
QTUMETH,TRADING,QTUM,ETH,,Ξ,0.01,0.000001,Qtum,Ethereum,0.004667,0.004716,0.0046,0.004689,5085.49,23.69012671,0,5085.49,ALTS,ALTS,97437863,"[""pos"",""mining-zone""]",,,
BNTETH,TRADING,BNT,ETH,,Ξ,0.01,0.000001,Bancor,Ethereum,0.001631,0.001661,0.001613,0.001644,68004.56,110.89949144,0,68004.56,ALTS,ALTS,88069173,"[""defi""]",,,
SNMBTC,TRADING,SNM,BTC,,฿,1,1e-8,SONM,Bitcoin,5.6e-7,5.7e-7,4.8e-7,5.1e-7,35084688,18.19267951,0,35084688,BTC,BTC,359600000,"[""storage-zone""]",,,
BQXBTC,TRADING,BQX,BTC,,฿,1,1e-8,Voyager Token,Bitcoin,0.00000816,0.0000088,0.00000804,0.00000874,1147156,9.70722894,0,1147156,BTC,BTC,,[],,,
NEOETH,TRADING,NEO,ETH,,Ξ,0.01,0.000001,NEO,Ethereum,0.029658,0.030746,0.029566,0.030665,12604.73,379.66835669,0,12604.73,ALTS,ALTS,65000000,"[""pos"",""mining-zone""]",,,
KNCETH,TRADING,KNC,ETH,,Ξ,1,1e-7,KyberNetwork,Ethereum,0.0016849,0.0017211,0.0016622,0.0017143,69617,117.883258,0,69617,ALTS,ALTS,200674735,"[""defi""]",,,
ZRXETH,TRADING,ZRX,ETH,,Ξ,1,1e-8,0x,Ethereum,0.00068654,0.00072027,0.00067845,0.00072027,119305,83.20192983,0,119305,ALTS,ALTS,743937911,"[""defi""]",,,
QTUMBTC,TRADING,QTUM,BTC,,฿,0.01,1e-7,Qtum,Bitcoin,0.0001457,0.000148,0.000144,0.0001459,238585.26,34.77401551,0,238585.26,BTC,BTC,97437863,"[""pos"",""mining-zone""]",,,
FUNETH,TRADING,FUN,ETH,,Ξ,1,1e-8,FunFair,Ethereum,0.00000676,0.0000069,0.00000673,0.00000683,2140239,14.56886474,0,2140239,ALTS,ALTS,6548879188,[],,,
LTCBTC,TRADING,LTC,BTC,Ł,฿,0.01,0.000001,Litecoin,Bitcoin,0.004692,0.004817,0.004477,0.004578,504491.24,2332.99571365,0,504491.24,BTC,BTC,65994089,"[""pow"",""mining-zone""]",,,
LINKETH,TRADING,LINK,ETH,,Ξ,0.01,0.000001,ChainLink,Ethereum,0.023016,0.023254,0.0225,0.023175,77003.8,1763.83905878,0,77003.8,ALTS,ALTS,394509556,"[""defi""]",,,
ETHBTC,TRADING,ETH,BTC,Ξ,฿,0.001,0.000001,Ethereum,Bitcoin,0.031383,0.031621,0.030973,0.031154,250159.204,7832.13057522,0,250159.204,BTC,BTC,113660608,"[""pow"",""mining-zone""]",,,
XVGETH,TRADING,XVG,ETH,,Ξ,1,1e-8,Verge,Ethereum,0.00001188,0.000013,0.00001151,0.00001245,37301247,455.61335634,0,37301247,ALTS,ALTS,16397176943,"[""pow"",""mining-zone""]",,,
ZRXBTC,TRADING,ZRX,BTC,,฿,1,1e-8,0x,Bitcoin,0.00002144,0.00002241,0.00002119,0.00002234,1257515,27.29216129,0,1257515,BTC,BTC,743937911,"[""defi""]",,,
IOTAETH,TRADING,IOTA,ETH,,Ξ,1,1e-8,MIOTA,Ethereum,0.00055488,0.00057804,0.00054873,0.00056787,377821,211.87789747,0,377821,ALTS,ALTS,2779530283,"[""pow""]",,,
OMGBTC,TRADING,OMG,BTC,,฿,0.01,1e-7,OmiseGO,Bitcoin,0.0001958,0.0002,0.0001926,0.0001958,454050.78,88.9222236,0,454050.78,BTC,BTC,102042552,"[""pos"",""mining-zone""]",,,
AAVEBKRW,TRADING,AAVE,BKRW,,,0.001,1,Aave,Binance KRW,83710,97851,80203,95770,1269,110521830.987,0,1268.929,USDⓈ,USDⓈ,,"[""defi""]",,,
AAVEBNB,TRADING,AAVE,BNB,,,0.01,0.0001,Aave,BNB,2.498,2.9502,2.419,2.864,3034.44,8206.940089,0,3034.44,BNB,BNB,,"[""defi""]",,,
AAVEBTC,TRADING,AAVE,BTC,,฿,0.01,0.000001,Aave,Bitcoin,0.003961,0.00475,0.00386,0.004602,151247.84,655.18195405,0,151247.84,BTC,BTC,,"[""defi""]",,,
AAVEBUSD,TRADING,AAVE,BUSD,,,0.001,0.001,Aave,BUSD,75.686,90.088,71.775,86.867,11889.315,955576.496514,0,11889.315,USDⓈ,USDⓈ,,"[""defi""]",,,
AAVEETH,TRADING,AAVE,ETH,,Ξ,0.001,0.00001,Aave,Ethereum,0.12646,0.152,0.12337,0.14753,13018.206,1804.11849568,0,13018.206,ALTS,ALTS,,"[""defi""]",,,
AAVEUSDT,TRADING,AAVE,USDT,,,0.001,0.001,Aave,TetherUS,76.347,89.5,71.601,86.879,496652.045,40209255.632052,0,496652.045,USDⓈ,USDⓈ,,"[""defi""]",,,
ADABKRW,TRADING,ADA,BKRW,,,0.1,0.01,Cardano,Binance KRW,177.27,177.27,167.28,169.83,324813.5,55778597.5,0,324813.5,USDⓈ,USDⓈ,31112484646,"[""mining-zone"",""pos""]",,,
ADABNB,TRADING,ADA,BNB,,,1,0.000001,Cardano,BNB,0.005257,0.005284,0.005063,0.005128,2491765,12889.425863,0,2491765,BNB,BNB,31112484646,"[""mining-zone"",""pos""]",,,
ADABTC,TRADING,ADA,BTC,,฿,1,1e-8,Cardano,Bitcoin,0.00000834,0.00000841,0.00000811,0.00000823,109799334,908.27535894,0,109799334,BTC,BTC,31112484646,"[""mining-zone"",""pos""]",,,
ADABUSD,TRADING,ADA,BUSD,,,0.1,0.00001,Cardano,BUSD,0.16084,0.16237,0.15079,0.15533,21761938.1,3405878.19618,0,21761938.1,USDⓈ,USDⓈ,31112484646,"[""mining-zone"",""pos""]",,,
ADAETH,TRADING,ADA,ETH,,Ξ,1,1e-8,Cardano,Ethereum,0.00026581,0.0002674,0.00026,0.00026355,13114970,3453.40757272,0,13114970,ALTS,ALTS,31112484646,"[""mining-zone"",""pos""]",,,
